有價證卷代號及名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3711　日月光投控,109/05/21,"19,529,996","1,218,132,948",62.40,63.30,61.70,63.00,+1.30,"6,986"
3711　日月光投控,109/05/22,"10,516,294","649,003,703",62.40,62.40,61.20,61.30,-1.70,"4,762"
3711　日月光投控,109/05/25,"9,468,227","577,006,450",61.30,61.80,60.10,61.10,-0.20,"3,846"
3711　日月光投控,109/05/26,"9,475,074","582,762,532",61.30,62.30,60.80,61.40,+0.30,"4,295"
3711　日月光投控,109/05/27,"11,281,945","691,113,204",61.60,61.90,60.90,61.00,-0.40,"4,425"
3711　日月光投控,109/05/28,"7,231,552","444,086,476",61.60,61.90,60.90,61.30,+0.30,"3,209"
3711　日月光投控,109/05/29,"27,554,174","1,701,721,688",60.50,62.50,60.50,61.80,+0.50,"3,536"
3711　日月光投控,109/06/01,"7,814,028","489,983,626",62.60,63.00,62.40,62.80,+1.00,"3,894"
3711　日月光投控,109/06/02,"7,591,468","479,890,994",63.00,63.60,62.80,63.50,+0.70,"4,169"
3711　日月光投控,109/06/03,"19,835,616","1,309,787,404",64.90,67.10,64.70,66.50,+3.00,"9,792"
3711　日月光投控,109/06/04,"7,425,114","495,603,864",67.30,67.50,66.00,66.80,+0.30,"3,619"
3711　日月光投控,109/06/05,"13,734,861","933,889,500",66.70,68.40,66.20,68.20,+1.40,"5,533"
3711　日月光投控,109/06/08,"13,370,237","909,385,816",68.50,68.90,67.20,68.00,-0.20,"5,497"
3711　日月光投控,109/06/09,"12,240,469","816,840,425",67.90,67.90,66.20,66.20,-1.80,"4,841"
3711　日月光投控,109/06/10,"13,284,820","899,033,847",66.30,68.00,66.30,68.00,+1.80,"5,373"
3711　日月光投控,109/06/11,"12,374,357","825,824,356",67.30,67.90,65.80,66.50,-1.50,"5,015"
3711　日月光投控,109/06/12,"8,496,420","559,077,930",64.60,66.70,64.40,66.30,-0.20,"3,590"
3711　日月光投控,109/06/15,"6,742,574","446,607,239",66.10,66.70,65.40,65.60,-0.70,"2,487"
3711　日月光投控,109/06/16,"8,762,236","592,203,012",66.80,68.40,66.70,67.30,+1.70,"3,953"
3711　日月光投控,109/06/17,"7,990,720","540,201,286",67.50,68.00,67.10,68.00,+0.70,"3,373"
3711　日月光投控,109/06/18,"5,142,872","345,748,147",68.00,68.40,66.50,67.50,-0.50,"2,097"
3711　日月光投控,109/06/19,"13,415,108","913,339,781",67.30,68.50,67.10,68.20,+0.70,"3,801"
3711　日月光投控,109/06/22,"6,003,657","409,276,076",67.70,68.60,67.40,68.20, 0.00,"1,963"
3711　日月光投控,109/06/23,"6,564,051","444,844,620",68.50,68.80,67.00,67.80,-0.40,"2,961"
3711　日月光投控,109/06/24,"6,605,188","448,965,583",68.00,68.50,67.40,68.00,+0.20,"2,745"
3711　日月光投控,109/06/29,"6,206,782","419,379,889",67.20,68.50,66.80,67.30,-0.70,"2,910"
3711　日月光投控,109/06/30,"8,433,207","568,284,001",67.60,68.00,66.80,67.60,+0.30,"2,754"
3711　日月光投控,109/07/01,"6,306,210","426,794,175",67.20,68.30,66.80,68.00,+0.40,"3,519"
3711　日月光投控,109/07/02,"24,142,867","1,714,218,222",68.30,72.80,68.00,72.70,+4.70,"11,163"
3711　日月光投控,109/07/03,"19,272,900","1,394,612,947",73.70,74.50,71.30,71.90,-0.80,"8,773"
3711　日月光投控,109/07/06,"15,261,016","1,092,226,299",72.00,72.20,71.00,71.60,-0.30,"6,640"
3711　日月光投控,109/07/07,"18,798,717","1,327,512,646",71.60,72.10,70.00,70.50,-1.10,"6,573"
3711　日月光投控,109/07/08,"18,966,991","1,314,647,456",70.10,70.20,68.90,69.50,-1.00,"7,383"
3711　日月光投控,109/07/09,"19,088,830","1,350,270,021",70.10,72.20,70.10,70.40,+0.90,"7,006"
3711　日月光投控,109/07/10,"15,252,212","1,088,595,265",71.10,72.00,70.40,71.60,+1.20,"7,045"
3711　日月光投控,109/07/13,"12,159,638","875,335,236",72.30,72.80,71.50,72.40,+0.80,"5,787"
3711　日月光投控,109/07/14,"10,711,555","765,185,206",72.40,72.90,70.70,70.70,-1.70,"4,633"
3711　日月光投控,109/07/15,"6,857,926","487,699,472",71.50,71.90,70.70,70.70, 0.00,"3,349"
3711　日月光投控,109/07/16,"9,255,347","648,855,462",71.20,71.30,69.50,69.70,-1.00,"4,321"
3711　日月光投控,109/07/17,"9,702,906","675,395,858",70.30,70.40,69.10,69.30,-0.40,"4,604"
3711　日月光投控,109/07/20,"7,336,963","514,578,776",69.80,70.70,69.30,70.60,+1.30,"3,505"
3711　日月光投控,109/07/21,"14,091,614","1,015,393,753",71.00,72.70,71.00,72.00,+1.40,"6,215"
3711　日月光投控,109/07/22,"11,100,889","800,764,025",72.20,73.40,71.30,71.80,-0.20,"5,462"
3711　日月光投控,109/07/23,"10,358,538","739,325,050",71.50,71.80,70.90,71.80, 0.00,"4,198"
3711　日月光投控,109/07/24,"16,911,802","1,199,507,940",71.20,72.70,69.50,69.90,-1.90,"7,775"
3711　日月光投控,109/07/27,"38,316,368","2,839,857,664",70.70,76.00,70.70,73.00,+3.10,"18,588"
3711　日月光投控,109/07/28,"49,796,496","3,666,657,039",75.80,77.60,70.50,70.70,-2.30,"24,249"
3711　日月光投控,109/07/29,"21,341,123","1,550,064,885",72.00,73.80,71.50,72.50,+1.80,"10,854"
3711　日月光投控,109/07/30,"26,169,370","1,960,248,978",74.50,76.00,73.50,75.50,+3.00,"13,991"
3711　日月光投控,109/07/31,"21,262,520","1,605,149,648",75.50,76.60,74.20,75.60,+0.10,"10,612"
3711　日月光投控,109/08/03,"48,954,775","3,552,438,428",73.50,74.10,71.40,71.60,-4.00,"25,056"
3711　日月光投控,109/08/04,"33,013,865","2,344,956,015",71.70,72.30,70.50,70.60,-1.00,"17,481"
3711　日月光投控,109/08/05,"22,628,244","1,595,816,387",70.80,71.20,70.20,70.30,-0.30,"12,130"
3711　日月光投控,109/08/06,"16,277,323","1,152,663,533",70.90,71.40,70.30,70.90,+0.60,"8,777"
3711　日月光投控,109/08/07,"13,740,153","971,007,372",71.50,71.50,70.10,70.30,-0.60,"7,845"
3711　日月光投控,109/08/10,"9,250,676","653,848,053",70.50,71.20,70.20,70.40,+0.10,"4,740"
3711　日月光投控,109/08/11,"10,226,320","722,285,036",70.40,71.00,70.40,70.40, 0.00,"6,040"
3711　日月光投控,109/08/12,"18,989,393","1,325,036,510",70.30,70.70,69.40,69.90,-0.50,"9,425"
3711　日月光投控,109/08/13,"13,642,915","930,946,680",68.40,69.00,67.90,68.00,X0.00,"7,219"
3711　日月光投控,109/08/14,"16,360,373","1,096,294,173",67.70,67.80,66.70,66.80,-1.20,"9,420"
3711　日月光投控,109/08/17,"11,668,310","790,976,965",67.20,68.40,66.60,68.40,+1.60,"5,845"
3711　日月光投控,109/08/18,"19,240,437","1,293,442,571",68.50,68.50,66.80,67.00,-1.40,"9,356"
3711　日月光投控,109/08/19,"26,083,012","1,705,121,580",66.90,67.20,64.70,64.80,-2.20,"14,780"
3711　日月光投控,109/08/20,"33,794,495","2,072,422,613",64.20,64.20,59.50,61.10,-3.70,"19,239"
